市区町村,15以上65歳未満人口比率,15歳未満人口比率,15歳未満人口（男）比率,1人1日当たりの排出量,1人当たりの労働生産性（第1次産業）,1人当たりの労働生産性（第2次産業）,1人当たりの労働生産性（第3次産業）,65歳以上の世帯員のいる世帯数割合,65歳以上人口比率,ゴミ処理直後資源化率,リサイクル率,一人当たりの労働生産性（サービス業）,一人当たりの労働生産性（不動産業、物品賃貸業）,一人当たりの労働生産性（医療、福祉）,一人当たりの労働生産性（卸売業、小売業）,一人当たりの労働生産性（学術研究、専門・技術サービス業）,一人当たりの労働生産性（宿泊業、飲食サービス業）,一人当たりの労働生産性（建設業）,一人当たりの労働生産性（教育、学習支援業）,一人当たりの労働生産性（製造業）,一人当たりの労働生産性（複合サービス業）,一人当たりの労働生産性（農業漁業）,一人当たりの労働生産性（金融業、保険業）,一人当たりの労働生産性（電気・ガス・熱供給・水道業）,一般世帯人員数（一般世帯当たり）,中学校生徒数（中学校教員当たり）,人口一人当たりの市内総生産,保健所数密度,公債費割合（歳出比）,労働力人口割合（男）（総人口比）,労働力人口割合（総人口比）,労働費割合（歳出比）,医師数（10万人当たり）,合計特殊出生率,商業・近隣商業地域面積割合,商業地域面積割合,図書館数密度,国民健康保険被保険者割合,地方債割合（歳入比）,地方債現在高（歳入比）,地方債現在高（歳出比）,売上金額（民営）の建築業の割合,売上金額（民営）の情報通信料の割合,売上金額（民営）の教育、学習支援業の割合,売上金額（民営）の生活関連サービス業、娯楽業の割合,売上金額（民営）の複合サービス業の割合,売上金額（民営）の農林漁業の割合,売上金額（民営）の運輸業、郵便行の割合,売上金額（民営）の電気・ガス・熱供給・水道業の割合,外国人人口比率,子ども向け施設数割合（児童福祉、母子・父子福祉、婦人保護施設）,子供施設数（10万人当たり）,実質公債費比率,実質収支比率,将来負担比率,小学高児童数（小学校教員当たり）,工業・準工業地域面積割合,工業地域面積割合,工業専用地域面積割合,平均寿命（女）,平均寿命（男）,投資的経費割合（歳出比）,持ち家一般世帯比率,昼夜間人口比率,最終学歴人口割合（小・中学校）,最終学歴人口割合（高専・短大・大学・大学院）,死亡率,母子世帯割合（世帯比）,水洗化率,準工業地域面積割合,災害復旧費割合（歳出比）,病院数密度,病院病床数（病院数当たり）,県内他市区町村への通勤・通学者比率,第1次産業の売上割合,納税対象者割合,経常収支比率,総人口（日本人）比率,総面積における道路面積比率,耕地面積割合,自市区町村内通勤・通学者比率,薬剤師数（10万人当たり）,薬剤師数（医療施設数当たり）,衛生費割合（歳出比）,転入超過率,農林水産業費割合（歳出比）,近隣商業地域面積割合,障害者支援施設等数密度,雇用者数比率（正規）,雇用者数比（女）（正規）,非水洗化人口比率,高齢者向け施設数割合（介護老人福祉施設、老人ホーム）,高齢者用施設数（65歳以上）
札幌市,0.810550637,0.418560524,0.412210596,0.609436348,0.613392352,0.498151678,0.741550047,0.322253395,0.293115496,0.335320344,0.553155333,0.546738322,0.71149876,0.587453931,0.802227376,0.628289022,0.618135382,0.738095723,0.728430505,0.444621442,0.562979375,0.348732026,0.628573418,0.5,0.211330114,0.720514204,0.661137969,0.632820111,0.422384365,0.376938061,0.42948454,0.442801126,0.8982893,0,0.940437472,0.937996291,0.456378458,0.305974891,0.479594539,0.603645843,0.584299031,0.451747956,0.933590341,0.737118598,0.527765546,0.412967588,0.361198379,0.477429669,0.57259918,0.365758617,0.546654088,0.340790795,0.403578917,0.240293354,0.653021724,0.74476761,0.774177521,0.54781381,0.519731172,0.550458324,0.56979519,0.321244005,0.086420349,0.617080303,0.246834784,0.737834863,0.293134363,0.708770971,0.225883324,0.925564387,0.351917232,0.93950123,0.594190394,0.634747254,0.361198379,0.593126654,0.723432415,0.634502662,0.665948146,0.304406586,0.350602275,0.797037159,0.721169807,0.26297024,0.69694027,0.258323729,0.932324004,0.981176693,0.313260487,0.366967429,0.295214104,0.521407176,0.361332811
函館市,0.5785806,0.346870707,0.584561318,0.802713655,0.702845152,0.482299855,0.581881581,0.538918977,0.490879014,0.335320344,0.388591637,0.468295916,0.567806746,0.60661526,0.557289347,0.504494538,0.502313064,0.543142323,0.834660607,0.507442483,0.509639129,0.386675967,0.597160301,0.5,0.225699913,0.571852336,0.532834232,0.445991698,0.52224141,0.252826272,0.341583984,0.537405424,0.828674743,0.233605569,0.940437472,0.937996291,0.359111699,0.433038093,0.547683345,0.637326517,0.613492197,0.460036068,0.933590341,0.77469121,0.712766637,0.47332989,0.370977123,0.664564795,0.865188241,0.323033621,0.59810731,0.455230487,0.364098882,0.250822472,0.633354233,0.607910498,0.879080737,0.785791432,0.589303814,0.182466016,0.067492316,0.332914469,0.191204923,0.662546244,0.409162029,0.426662015,0.509050057,0.909070118,0.242672464,0.925564387,0.356909678,0.936246642,0.652219618,0.210567672,0.370977123,0.50790808,0.516399289,0.677176918,0.392572903,0.310118394,0.698661503,0.747369438,0.667886554,0.550465811,0.491283302,0.292141749,0.932324004,0.732396738,0.296819522,0.369506974,0.473778522,0.478234936,0.436842901
小樽市,0.469542946,0.258492146,0.345853222,0.716296398,0.791236474,0.469599089,0.581737865,0.694129126,0.606517272,0.335320344,0.452903886,0.325937817,0.552322688,0.550551713,0.460334811,0.503524987,0.666203779,0.520651738,0.559482712,0.468546487,0.484450365,0.38949868,0.905822844,0.5,0.261586039,0.524953465,0.538026175,0.464333665,0.530649883,0.16480217,0.235553535,0.468632943,0.704205773,0.153394107,0.787009011,0.741783595,0.387740197,0.353271838,0.529792761,0.476635016,0.459188895,0.41801462,0.577701435,0.680158552,0.588394032,0.486475047,0.386380284,0.738254795,0.865188241,0.339834299,0.542101421,0.371162405,0.631685782,0.371907326,0.676622713,0.523275799,0.94388356,0.908945493,0.890065047,0.386906187,0.177165432,0.236064301,0.360648518,0.638730751,0.451811076,0.488459908,0.578533528,0.852297044,0.232452988,0.925564387,0.36543743,0.870886756,0.622399574,0.310562393,0.386380284,0.4959735,0.846358334,0.660396192,0.455307132,0.278582059,0.596354655,0.916824634,0.80627724,0.547283612,0.367889122,0.271709414,0.838085639,0.679213933,0.256958677,0.388280032,0.340309426,0.43688443,0.393819319
旭川市,0.579943571,0.407973041,0.451163785,0.562975456,0.620437886,0.454819398,0.575385624,0.502870467,0.463456713,0.404678581,0.520999209,0.518098776,0.55156311,0.645809508,0.509134757,0.565424126,0.507614862,0.574268799,0.762745399,0.4614037,0.513470708,0.389052756,0.578996906,0.5,0.248313224,0.581331167,0.526669141,0.453833311,0.497608543,0.305053901,0.365457071,0.475814766,0.98618575,0.323843465,0.582406401,0.654594835,0.398196462,0.392306275,0.558258835,0.675131382,0.657193353,0.476199392,0.933590341,0.906256827,0.684070756,0.358682674,0.393301589,0.524501689,0.865188241,0.296654657,0.56025098,0.362320735,0.394805576,0.313997178,0.690568751,0.568620148,0.619610896,0.579604094,0.698549255,0.562140619,0.440380913,0.40302522,0.246628779,0.614915258,0.443844706,0.470116726,0.402438898,0.887719059,0.255081828,0.690186417,0.356067135,0.648035073,0.59478868,0.197899315,0.393301589,0.499111938,0.610211174,0.703524555,0.54495491,0.544774202,0.729297859,0.726563189,0.665688018,0.329104574,0.566690857,0.313527585,0.542497567,0.495604292,0.341318789,0.382879779,0.33045176,0.345701444,0.332136334
室蘭市,0.507554684,0.362303308,0.356555402,0.772978685,0.245442124,0.82146995,0.620410837,0.588997379,0.543117364,0.335893228,0.558829943,0.588126935,0.557499349,0.700575757,0.510915444,0.667090915,0.348696934,0.665413893,0.690346852,0.8865251,0.587400395,0.337296859,0.546408698,0.5,0.177245784,0.526767973,0.765704397,0.568766538,0.41560865,0.372761867,0.224664372,0.521020593,0.805181009,0.464213525,0.940437472,0.937996291,0.446260438,0.311589506,0.448765947,0.593586746,0.584871819,0.312123913,0.64053601,0.491602501,0.43415899,0.394512773,0.35221749,0.44284732,0.865188241,0.337210987,0.603562429,0.351353853,0.377258894,0.435082032,0.678768257,0.550998269,0.94388356,0.908945493,0.890065047,0.182466016,0.133296186,0.411063419,0.177826494,0.805439204,0.521220309,0.43694571,0.547737523,0.647706312,0.246322277,0.925564387,0.37539971,0.769923113,0.848496338,0.24261567,0.35221749,0.548205287,0.62962053,0.663016388,0.72899845,0.3063955,0.670350699,0.661251889,0.672283714,0.529678062,0.48442807,0.285649974,0.932324004,0.719328062,0.52938936,0.367310599,0.351702307,0.425060005,0.36248285
釧路市,0.62836689,0.445567576,0.397230955,0.76647416,0.659717732,0.526256597,0.576630906,0.479202653,0.428243985,0.335320344,0.515324598,0.419228844,0.529832472,0.584855338,0.50336086,0.534976819,0.505350887,0.594686066,0.618699493,0.571272715,0.55816362,0.439370045,0.634196456,0.5,0.248390582,0.558895923,0.534407772,0.358620178,0.500202642,0.349615242,0.34754329,0.476694957,0.636178112,0.363949196,0.524027631,0.5057496,0.357513461,0.368195751,0.971586615,0.7082137,0.679979038,0.411113557,0.933590341,0.535432778,0.574483643,0.457936683,0.435150901,0.723247641,0.865188241,0.308377009,0.72012641,0.424835871,0.52201902,0.203441442,0.88402534,0.578934446,0.623277293,0.908945493,0.890065047,0.036437322,0.308773173,0.330656352,0.193721268,0.614915258,0.505436103,0.373276904,0.417629694,0.976877312,0.228073212,0.50237843,0.385407589,0.495478597,0.630585101,0.216513513,0.435150901,0.530326914,0.807539622,0.691816124,0.357182691,0.382113652,0.721612144,0.60923092,0.67369208,0.318415623,0.398737667,0.326780116,0.553458374,0.394875627,0.380114785,0.351194023,0.368765464,0.384286123,0.352271934
帯広市,0.71014513,0.513668416,0.474931322,0.563904674,0.60339132,0.664277376,0.60494399,0.363794815,0.345948752,0.335320344,0.604226825,0.482185187,0.538433374,0.750350213,0.585682264,0.498281585,0.405783271,0.709949733,0.713680295,0.750768941,0.502943229,0.465329372,0.636593441,0.5,0.239608149,0.590247412,0.65985641,0.399692313,0.490838222,0.447754505,0.502229969,0.525231371,0.76974276,0.394028495,0.46614747,0.508448543,0.334267461,0.422071924,0.609294674,0.669677444,0.646136114,0.555823228,0.933590341,0.642988671,0.708333152,0.52330343,0.476592028,0.460242346,0.558799228,0.327799458,0.562282647,0.351370408,0.486925656,0.261351589,0.678768257,0.592528928,0.407343359,0.43213559,0.615216435,0.386906187,0.637792523,0.435939807,0.132958048,0.701517051,0.32159519,0.468512071,0.323622654,0.914125253,0.236102801,0.413627084,0.367704418,0.448070487,0.625747265,0.273480455,0.476592028,0.614306821,0.548748215,0.672416741,0.510488396,0.82595649,0.710795333,0.670903364,0.626519094,0.287643065,0.63524318,0.475222147,0.448803352,0.338149231,0.342487337,0.328033691,0.336396392,0.379174174,0.329864794
北見市,0.609285301,0.45821872,0.468147122,0.610365565,0.755219968,0.474897386,0.560297614,0.427257531,0.431445142,0.374598303,0.485060011,0.39673598,0.566722723,0.653827217,0.520632662,0.529784501,0.398281202,0.574508518,0.770919591,0.504744615,0.536934548,0.668411199,0.603293002,0.5,0.254067755,0.517074676,0.551776571,0.350794459,0.608900806,0.416879542,0.466433158,0.965792546,0.605727468,0.373975629,0.42369406,0.44319158,0.434041822,0.491044222,0.751999976,0.73840375,0.714607303,0.488248609,0.933590341,0.709221694,0.609838184,0.465203572,0.481708859,0.601363168,0.865188241,0.313071834,0.764531736,0.452294676,0.640459123,0.235028795,0.710236242,0.518154053,0.484333142,0.568521387,0.420301404,0.591346358,0.528119406,0.533570269,0.225990616,0.604090033,0.450292854,0.442201076,0.390247735,0.79956606,0.244862352,0.4682601,0.367212955,0.420966497,0.519541259,0.192413134,0.481708859,0.561258508,0.616680959,0.687126874,0.386766203,0.517804177,0.789908218,0.585745656,0.638507069,0.3147476,0.535842312,0.413181769,0.423730016,0.338149231,0.296535988,0.331870984,0.360070297,0.323707786,0.330866925
夕張市,0.131412638,0.016415642,0.353163106,0.655897239,0.245442124,0.410780193,0.229760303,0.940658316,0.954451883,0.580221778,0.256184065,0.306078191,0.609937127,0.33735188,0.266127366,0.388190228,0.075262044,0.442611226,0.240534055,0.427890501,0.322961866,0.337296859,0.600211121,0.5,0.074548288,0.388590742,0.311496378,0.333831732,0.767188519,0.375767937,0.306818927,0.261856328,0.351741655,0.333869898,0.497154063,0.595613491,0.319905642,0.659239529,0.545285645,0.977085981,0.95892035,0.528639902,0.566007036,0.323063308,0.317327302,0.358682674,0.35221749,0.51110864,0.377898736,0.411628728,0.603562429,0.692573416,1,0.803601153,1,0.17585022,0.616654621,0.657001553,0.381056416,0.416111926,0.067492316,0.567211859,0,0.708012186,0.83941793,0.288913254,0.907564083,0.40885963,0.43027285,0.642558716,0.393855513,0.325352054,0.258473399,0.212331866,0.35221749,0.454697675,0.267312559,0.588687026,0.288210085,0.277435034,0.630471877,0.488459899,0.552411614,0.227020515,0.050834631,0.274299845,0.436747901,0.338149231,0.193588584,0.269468631,0.865411235,0.365937877,0.565783778
岩見沢市,0.556659489,0.387785045,0.48481755,0.848245329,0.399954352,0.593396565,0.467034048,0.555544194,0.499745936,0.335320344,0.445337739,0.394474468,0.453715927,0.472941948,0.52705401,0.484770134,0.407240656,0.593636511,0.624911955,0.670361526,0.525794673,0.472105343,0.540521929,0.5,0.351594275,0.521499608,0.423656889,0.372847567,0.550615389,0.331446227,0.348693429,0.537700569,0.645148276,0.283737734,0.41553677,0.415824454,0.354197414,0.403266389,0.639676267,0.562537448,0.533711373,0.520953183,0.806568492,0.584541114,0.758698738,0.420459597,0.490457687,0.722259599,0.377898736,0.286026639,0.674478976,0.466380056,0.557112384,0.187647765,0.442400779,0.571143108,0.542287678,0.728920829,0.381056416,0.562140619,0.396511666,0.496666318,0.360970954,0.523983374,0.457251487,0.507771545,0.472822579,0.760245775,0.278440631,0.477575083,0.351917232,0.394296826,0.666973839,0.371576859,0.490457687,0.483242238,0.684613704,0.714139951,0.496904475,0.889609482,0.603941153,0.553871745,0.518284808,0.294159055,0.508421383,0.43489966,0.430311427,0.441598392,0.27930168,0.309038065,0.401951912,0.393225013,0.384661019
